k[h/Mpc] d^2P/dk^2(z=0.00) d^2P/dk^2(z=0.08) d^2P/dk^2(z=0.17) d^2P/dk^2(z=0.29) d^2P/dk^2(z=0.42) d^2P/dk^2(z=0.59) d^2P/dk^2(z=0.80) d^2P/dk^2(z=1.08) d^2P/dk^2(z=1.45) d^2P/dk^2(z=2.00) 
0.00010202 16072021043.2 18385603881.4 3510173973.34 6113745212.36 18835651435.8 8703573472.71 6177840831.78 6481124312.85 3405120515.88 3230910051.07 
0.00010408 2090919325.46 604083951.349 -3002937999.93 -1683237283.88 2197027969.39 1469349152.76 790585740.123 41679256.0444 -993967282.634 159906915.999 
0.00010618 -12161660095.6 -17522708210.4 -9642518166.85 -9631617498.48 -14764675564.3 -5905345542.33 -4701276246.52 -6522803568.85 -5478474261.7 -2970727347.91 
0.00010833 1535868421.38 7185362729.72 3659954940.29 1709754550.09 5851318939.8 -648920697.615 -2891932271.67 6277134316.95 2541857556.78 1204556529.37 
0.00011052 4862984616.37 4957807285.78 4328353015.12 6577652512.67 3406329003.16 3889078776.03 7989529090.63 -5616284574.81 2693558903.77 330067553.95 
0.00011275 -9656989522.76 -11338865930.5 -11882447175.4 -11997092928.8 -7790108355.68 -6956291927.65 -12358592977.1 4143909071.53 -6177042487.13 -1626417294.59 
0.00011503 6119891597.26 9006076203.14 9908925750.69 7593170727.31 6318149847.47 4048271135.73 11368970479.1 -4741574694.06 4049795815.49 1644798611.27 
0.00011735 -4217309975.03 -10098262561.7 -7863950871.27 -3457344910.58 -6642630860.52 -1785504113.44 -6340925564.31 3778459502.17 -3339641100.91 -1834108518.55 
0.00011972 -3572912927.35 2788207281.87 1947792762.3 -2958139915.3 721152974.275 -4171029435.18 -2792732373.08 -4511410317.92 3728096527.84 473678831.914 
0.00012214 -5371912588.71 -7286468535.76 -8049749342.95 -3794707132.66 -4303506512.22 1185038301.02 1530195340.44 -884760297.338 -6429934418.39 -1864273405.68 
0.00012461 12375885305.8 10513770764.1 12571282276.5 9998869087.05 8855682098.43 3011282077.27 1554037575.06 3615583421.71 6892309994.97 3272217161.45 
0.00012712 -15136139247.9 -12109272296.5 -15165646016.3 -13386520636.3 -11819676812.2 -6560559803.0 -3970926137.15 -3412974584.1 -5676285549.98 -4583699189.48 
0.00012969 6383524982.07 5609730455.32 8191317495.94 6782747504.89 5903289452.88 4971367792.36 1223837926.88 1420078328.54 978601722.208 2822380361.99 
0.00013231 -12245739299.3 -15006096277.6 -14991585942.8 -11632390568.9 -9310950008.98 -9893306930.0 -5272853872.13 -6053457842.48 -2560433432.19 -2760738448.96 
0.00013499 13434160935.8 16882246147.5 15767753775.5 15018013385.8 10458342522.8 9655298235.55 8116669783.59 6612217587.92 4387711357.11 3887615422.11 
0.00013771 -8110163836.38 -8066440279.55 -8134127208.0 -12219336299.4 -7537991891.65 -6317537760.51 -7302679866.25 -3343977514.88 -1705359669.76 -4606119112.6 
0.00014049 -120061382.884 -3609649270.93 -824257267.934 3001310660.85 356285730.228 480075221.691 2287179001.02 -316494288.649 -2169079449.12 2605325847.01 
0.00014333 -9461012808.59 -3078390662.86 -5259059257.79 -6339403837.41 -4627911485.88 -2405695745.14 -4526058105.45 -2110296133.72 -1519959651.91 -2002635380.59 
0.00014623 13654946897.6 6275652036.07 6151288774.85 8992676884.67 8023316062.03 2772844448.55 6080867400.87 2433800195.91 4222269749.74 1809069371.51 
0.00014918 -17753456894.7 -10927444310.5 -9598089820.75 -13386207461.4 -10986364055.0 -5541792280.12 -8850649837.86 -3298782077.28 -4553282081.51 -3423182108.33 
0.0001522 13500131469.6 9331147291.74 7742621313.89 11269046212.4 8302950401.96 4840144887.27 7733069463.18 1811503279.61 2928082095.1 3582602975.79 
0.00015527 -10800647190.5 -9533767643.88 -5782822280.48 -10081634597.0 -6914261041.47 -4349771057.65 -5447279960.15 84301211.2617 -3617491444.05 -2730541778.44 
